Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
131575319,10/20/2021 18:08,10/20/2021 18:24,71155,968,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1037,Frew St & Schenley Dr,Customer
131575334,10/20/2021 18:09,10/20/2021 18:24,70977,893,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1037,Frew St & Schenley Dr,Subscriber
131575377,10/20/2021 18:10,10/20/2021 19:11,70563,3664,49201,Lytle St & Eliza St,49201,Lytle St & Eliza St,Customer
131575383,10/20/2021 18:10,10/20/2021 18:17,70613,404,1093,S Bouquet Ave & Sennott St,1088,Frazier St & Dawson St,Subscriber
131575386,10/20/2021 18:10,10/20/2021 18:33,70935,1365,1093,S Bouquet Ave & Sennott St,1023,Liberty Ave & Baum Blvd,Subscriber
131575405,10/20/2021 18:11,10/20/2021 20:09,70631,7057,49271,S Craig St & 5th Ave,49271,S Craig St & 5th Ave,Customer
131575481,10/20/2021 18:14,10/20/2021 18:21,70632,416,1029,Alder St & S Highland Ave,1023,Liberty Ave & Baum Blvd,Subscriber
131575503,10/20/2021 18:14,10/20/2021 20:22,71190,7633,1093,S Bouquet Ave & Sennott St,1091,Semple St & Louisa St,Customer
131575539,10/20/2021 18:15,10/20/2021 19:13,70833,3448,49201,Lytle St & Eliza St,49201,Lytle St & Eliza St,Customer
131575544,10/20/2021 18:15,10/20/2021 18:17,70677,89,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
131575546,10/20/2021 18:15,10/20/2021 18:26,70974,640,1016,17th St & Penn Ave,1000,Liberty Ave & Stanwix St,Subscriber
131575575,10/20/2021 18:17,10/20/2021 18:55,70856,2276,1037,Frew St & Schenley Dr,1011,Fort Duquesne Blvd & 7th St,Customer
131575617,10/20/2021 18:18,10/20/2021 18:55,70750,2204,1037,Frew St & Schenley Dr,1011,Fort Duquesne Blvd & 7th St,Customer
131575622,10/20/2021 18:18,10/20/2021 18:29,70633,651,1099,Forbes Ave & S Craig St,,BIKE 70633,Customer
131575659,10/20/2021 18:19,10/20/2021 18:25,70676,344,49921,W General Robinson St & Chuck Noll Way,1015,Federal St & E North Ave,Subscriber
131575663,10/20/2021 18:20,10/20/2021 18:26,70997,393,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),1037,Frew St & Schenley Dr,Subscriber
131575693,10/20/2021 18:21,10/20/2021 18:25,70592,241,49701,Third Ave & Stanwix St,1003,First Ave & Smithfield St,Subscriber
131575720,10/20/2021 18:22,10/20/2021 18:43,70703,1293,49701,Third Ave & Stanwix St,49561,Butler St & 48th St,Subscriber
131575752,10/20/2021 18:23,10/20/2021 18:57,70953,2046,1015,Federal St & E North Ave,1015,Federal St & E North Ave,Customer
131575757,10/20/2021 18:23,10/20/2021 18:29,70029,358,49271,S Craig St & 5th Ave,49301,Centre Ave & N Craig St,Subscriber
131575790,10/20/2021 18:25,10/20/2021 18:38,70465,784,1034,Ellsworth Ave & N Neville St,1032,Walnut St & College St,Subscriber
131575798,10/20/2021 18:25,10/20/2021 18:52,70564,1609,49801,Microsoft,49801,Microsoft,Subscriber
131575810,10/20/2021 18:25,10/20/2021 20:17,71172,6711,1028,Penn Ave & Putnam St (Bakery Square),1028,Penn Ave & Putnam St (Bakery Square),Customer
131575840,10/20/2021 18:27,10/20/2021 18:35,70589,495,1035,Fifth Ave & S Dithridge St,1024,S Negley Ave & Baum Blvd,Subscriber
131575881,10/20/2021 18:28,10/20/2021 18:36,70952,459,1093,S Bouquet Ave & Sennott St,1038,Boulevard of the Allies & Parkview Ave,Subscriber
131575900,10/20/2021 18:29,10/20/2021 19:18,71160,2911,1018,Butler St & Stanton Ave,49951,Butler St & 36th St,Customer
131575936,10/20/2021 18:31,10/20/2021 19:18,70901,2824,1018,Butler St & Stanton Ave,49951,Butler St & 36th St,Customer
131575964,10/20/2021 18:32,10/20/2021 19:07,70224,2093,1032,Walnut St & College St,,BIKE 70224,Customer
131575973,10/20/2021 18:32,10/20/2021 18:47,70550,888,1072,Glasshouse,1072,Glasshouse,Customer
131575979,10/20/2021 18:33,10/20/2021 19:08,71166,2115,1032,Walnut St & College St,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Customer
131576058,10/20/2021 18:36,10/20/2021 18:48,70621,675,1007,Stevenson St & Forbes Ave,1007,Stevenson St & Forbes Ave,Customer
131576065,10/20/2021 18:37,10/20/2021 19:05,70151,1689,1049,S 12th St & E Carson St,1049,S 12th St & E Carson St,Customer
131576073,10/20/2021 18:38,10/20/2021 19:05,70741,1643,1049,S 12th St & E Carson St,1049,S 12th St & E Carson St,Customer
131576080,10/20/2021 18:38,10/20/2021 19:04,70993,1571,1048,S 18th St & Sidney St,1048,S 18th St & Sidney St,Customer
131576154,10/20/2021 18:41,10/20/2021 19:04,70787,1392,1048,S 18th St & Sidney St,1048,S 18th St & Sidney St,Customer
131576164,10/20/2021 18:42,10/20/2021 18:52,70982,614,49301,Centre Ave & N Craig St,,BIKE 70982,Subscriber
131576165,10/20/2021 18:42,10/20/2021 18:48,71181,340,1024,S Negley Ave & Baum Blvd,49401,Stanton Ave & N Negley Ave,Subscriber
131576255,10/20/2021 18:47,10/20/2021 20:14,71175,5238,1017,21st St & Penn Ave,1010,10th St & Penn Ave,Customer
131576272,10/20/2021 18:48,10/20/2021 19:28,70943,2440,1017,21st St & Penn Ave,1010,10th St & Penn Ave,Customer
131576380,10/20/2021 18:53,10/20/2021 19:48,71230,3268,49301,Centre Ave & N Craig St,1043,S Millvale Ave & Centre Ave,Customer
131576469,10/20/2021 18:57,10/20/2021 19:03,70908,348,49271,S Craig St & 5th Ave,,BIKE 70908,Subscriber
131576566,10/20/2021 19:02,10/20/2021 19:08,70583,376,,BIKE 70583,1012,North Shore Trail & Fort Duquesne Bridge,Customer
